9562,-0.4,8.9,8.4,0.9,2,0.6,4.8,1.4,0.9,1,1.3,7.2,1.5,1.6,1.5,1.8,2.8,2.1,0.9,42,0.6,3.44,0.09,2
9826,2.2,8.5,8,0.7,2.9,0.6,3.5,0.9,2.2,0.8,1.1,7.6,1.2,1.2,1.3,1.3,2.4,1.6,0.7,38,0.54,3.44,0.09,2
9927,-12.8,10.7,10.4,2,0.4,2.9,6.2,2.2,-1.7,1.9,2.3,7.3,2.2,2.8,2.8,3,4.3,4.2,2,53,1.28,-0.06,0.1,4
10307,-0.3,8.7,8.2,1,2.3,0.7,4.7,1.4,1,1,1.2,7,1.5,1.4,1.3,2,2.7,1.8,0.8,42,0.67,4.39,-0.02,2
10476,-7.7,9.1,8.8,1.9,1.2,2,6,2.2,-1.4,1.7,1.6,6.9,2.3,2,2,4.6,4.1,3.1,1.2,51,0.84,5.83,-0.2,4
10761,-9,10.3,9.6,1.2,-0.1,1,6,1.7,-0.7,1.3,1.8,6.7,1.9,2,1.7,1.5,3.4,2.8,1.3,50,0.96,-0.23,-0.34,3
10780,-6.6,9,8.6,1.8,1.3,1.7,5.8,2,-0.8,1.5,1.5,7.3,2.2,2.1,1.8,4,3.9,2.8,1.2,50,0.81,5.64,0.36,3
10975,-8.4,10.2,9.5,1.3,0.1,1.2,6.1,1.8,-0.9,1.4,1.8,6.3,1.8,2,1.7,1.7,3.3,2.6,1.3,50,0.97,1.06,-0.4,3
11749,-7.4,10.4,9.8,1.5,0.3,1.5,6.5,1.9,-1.3,1.5,1.9,6.5,1.9,2.1,2,2.2,3.5,2.9,1.3,48,1.06,0.71,-0.37,3
12339,-9.3,10.2,9.3,1.3,-0.3,0.9,5.8,1.7,-0.5,1.3,1.9,6.4,1.8,2,1.8,1.3,3.4,2.6,1.3,48,0.95,-0.36,-0.33,3
12929,-10.8,10.6,10,1.7,0.5,2,6.3,2.1,-1.5,1.7,2,6.3,2,2,2.2,2.6,3.6,3.2,1.5,52,1.15,0.47,-0.19,4
13555,4.4,7.1,7.2,0.5,3.4,0.3,1.9,0.4,3.2,0.6,0.8,7.3,0.7,0.7,1,0.5,1.7,1.2,0.5,35,0.5,2.81,-0.32,2
14214,0.7,8.7,8.2,0.8,2.5,0.6,4.2,1.1,1.7,0.9,1.2,7.4,1.4,1.3,1.3,1.5,2.6,1.8,0.7,40,0.6,3.59,0.06,2
14770,-9.6,10.3,9.6,1.3,-0.2,1,6,1.7,-0.6,1.3,1.9,6.5,1.9,2.1,1.8,1.4,3.5,2.8,1.3,48,0.98,-0.11,-0.3,3
14938,3.4,7,6.9,0.6,2.9,0.4,2.5,0.6,2.4,0.6,0.6,6.3,0.9,0.7,1,1,1.8,1.3,0.5,35,0.49,3.57,-0.37,2
15335,1.3,8.5,7.9,0.8,2.1,0.5,4.4,1.1,1.3,0.8,1,6.1,1.1,1,1.1,1.3,2.1,1.6,0.6,40,0.58,3.45,-0.22,2
15596,-5.3,10.3,9.4,1.2,0.8,1.3,5.9,1.7,-1,1.1,1.4,4.6,1.4,1.3,1.6,2.6,2.5,1.9,0.8,45,0.9,1.32,-0.64,3
15798,3.9,6.7,7.2,0.5,3.5,0.3,1.8,0.4,3.3,0.4,0.7,7.1,0.7,0.7,1,0.5,1.8,1.3,0.5,35,0.45,2.69,-0.25,2
15920,-7.6,9.9,9.2,1.2,0.2,1,5.7,1.6,-0.5,1.3,1.6,6.2,1.7,1.8,1.8,1.5,3.2,2.5,1.2,48,0.88,0.68,-0.35,3
16673,2.5,8.1,7.5,0.6,2.8,0.6,3.1,0.9,2.4,0.8,0.8,6.9,1,1,1.1,1.3,2.1,1.5,0.6,36,0.52,4.11,0.02,2
16895,2.8,8.1,7.7,0.7,3.1,0.4,2.8,0.7,2.7,0.7,0.8,7.5,1.1,1,1.1,1.2,2.1,1.5,0.6,37,0.48,3.87,-0.02,2
17361,-10.6,10.4,10,1.8,0.4,1.9,6.3,2.1,-1.5,1.7,2,7.1,2.1,2.6,2.3,2.7,4,3.5,1.6,51,1.11,0.79,-0.13,4
17925,-7.5,7.9,7.9,1.9,1.1,2.3,5.5,2.1,-1.2,1.7,1.7,7.6,2.6,2.3,2.3,4.2,4.6,3.5,1.5,51,0.91,5.92,-0.1,4
18322,-9.9,10.4,10,1.7,0.5,1.9,6.2,2,-1.3,1.7,1.9,6.3,1.9,2.1,2.2,2.6,3.8,3.3,1.5,51,1.11,0.83,-0.25,4
18449,-11.9,10.6,10.4,1.8,0.4,2.5,6.2,2.1,-1.5,1.8,2.2,6.6,2,2.4,2.5,2.6,3.8,3.6,1.7,52,1.23,-0.23,-0.14,4
18768,2,8.1,7.5,0.7,1.8,0.5,4.3,1,1.1,0.7,0.8,5.2,0.9,0.8,1,1.2,1.7,1.1,0.4,38,0.52,3.48,-0.62,2
19445,3.4,4.1,4.9,0.2,2.9,0.2,1,0.2,2.4,0.2,0.1,3.3,0.1,0.1,0.1,0.7,0.5,0.4,0,24,0.45,5.12,-2.12,0
19476,-9.7,10.1,9.5,1.5,0.5,1.4,6.2,1.9,-1.1,1.5,1.7,6.7,2,2.4,1.9,2.4,3.8,3.2,1.5,50,0.98,1.12,-0.03,3
19656,-11.8,10.5,10.1,1.7,-0.2,1.7,6.3,2,-1.2,1.6,2.1,6.5,2,2.3,2.1,2,3.9,3.3,1.5,51,1.11,-0.23,-0.15,4
19787,-10.5,10.3,9.8,1.6,0.3,1.5,6.2,2,-1.1,1.5,1.8,6.9,1.9,2.5,2,2.2,3.9,3.3,1.6,52,1.03,0.79,-0.18,4
19994,1.6,8.5,8.1,0.8,2.6,0.6,3.9,1,2,0.8,1.1,7.6,1.3,1.5,1.3,1.4,2.5,1.8,0.8,38,0.57,3.31,0.09,2
22484,1.6,8.5,7.9,0.8,2.3,0.5,4.2,1.1,1.6,0.8,1.1,6.6,1.2,1.1,1.1,1.4,2.2,1.6,0.7,39,0.58,3.59,-0.11,2
